Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-05,,
Horizontal Delay,0,,
Sample Interval,2e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0.06,0.02,0
,,,
,,,
,,,
Label,M2024,,M2030
TIME,CH1,CH2,CH4
-9.626000e-05,1.42,-0.02,-0.04
-9.624000e-05,1.42,-0.02,-0.04
-9.622000e-05,1.42,-0.02,0
-9.620000e-05,1.42,-0.02,-0.04
-9.618000e-05,1.42,-0.02,-0.08
-9.616000e-05,1.46,-0.02,-0.04
-9.614000e-05,1.42,-0.02,-0.08
-9.612000e-05,1.38,-0.06,-0.04
-9.610000e-05,1.38,-0.02,-0.04
-9.608000e-05,1.42,-0.06,-0.04
-9.606000e-05,1.42,-0.02,-0.04
-9.604000e-05,1.42,0.02,-0.04
-9.602000e-05,1.38,-0.02,-0.04
-9.600000e-05,1.42,-0.02,-0.04
-9.598000e-05,1.42,-0.02,-0.04
-9.596000e-05,1.42,-0.02,-0.04
-9.594000e-05,1.42,-0.02,-0.04
-9.592000e-05,1.38,-0.02,-0.08
-9.590000e-05,1.42,-0.02,-0.04
-9.588000e-05,1.42,-0.02,-0.04
-9.586000e-05,1.42,-0.02,-0.04
-9.584000e-05,1.42,-0.02,-0.08
-9.582000e-05,1.46,-0.02,-0.04
-9.580000e-05,1.38,-0.06,-0.04
-9.578000e-05,1.42,-0.02,-0.04
-9.576000e-05,1.46,-0.02,-0.04
-9.574000e-05,1.42,0.02,-0.04
-9.572000e-05,1.42,-0.02,0
-9.570000e-05,1.46,-0.02,-0.04
-9.568000e-05,1.42,-0.02,-0.04
-9.566000e-05,1.46,0.02,-0.04
-9.564000e-05,1.42,0.02,-0.04
-9.562000e-05,1.46,-0.02,-0.04
-9.560000e-05,1.46,-0.02,-0.04
-9.558000e-05,1.42,-0.02,-0.04
-9.556000e-05,1.46,-0.02,-0.04
-9.554000e-05,1.42,-0.02,-0.04
-9.552000e-05,1.42,-0.02,-0.04
-9.550000e-05,1.42,-0.06,-0.04
-9.548000e-05,1.42,-0.02,-0.04
-9.546000e-05,1.42,-0.02,-0.04
-9.544000e-05,1.42,-0.06,-0.04
-9.542000e-05,1.42,-0.02,0
-9.540000e-05,1.42,0.02,-0.04
-9.538000e-05,1.38,-0.02,0
-9.536000e-05,1.46,-0.02,-0.04
-9.534000e-05,1.42,-0.02,-0.04
-9.532000e-05,1.42,-0.02,-0.04
-9.530000e-05,1.46,-0.06,-0.04
-9.528000e-05,1.46,-0.02,-0.04
-9.526000e-05,1.46,-0.02,-0.04
-9.524000e-05,1.42,-0.02,0
-9.522000e-05,1.42,-0.02,-0.04
