Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,0,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-9.450000e-06,1.4,-0.04
-9.448000e-06,1.4,-0.04
-9.446000e-06,1.44,-0.04
-9.444000e-06,1.4,-0.04
-9.442000e-06,1.4,-0.04
-9.440000e-06,1.4,-0.04
-9.438000e-06,1.4,-0.04
-9.436000e-06,1.44,-0.04
-9.434000e-06,1.4,-0.04
-9.432000e-06,1.44,-0.04
-9.430000e-06,1.44,-0.04
-9.428000e-06,1.44,-0.04
-9.426000e-06,1.4,0
-9.424000e-06,1.44,-0.04
-9.422000e-06,1.4,-0.04
-9.420000e-06,1.4,0
-9.418000e-06,1.44,0
-9.416000e-06,1.44,-0.04
-9.414000e-06,1.4,-0.04
-9.412000e-06,1.44,-0.04
-9.410000e-06,1.4,-0.04
-9.408000e-06,1.4,-0.04
-9.406000e-06,1.44,-0.04
-9.404000e-06,1.4,0
-9.402000e-06,1.44,-0.04
-9.400000e-06,1.4,-0.04
-9.398000e-06,1.44,-0.08
-9.396000e-06,1.4,-0.04
-9.394000e-06,1.4,-0.04
-9.392000e-06,1.44,-0.04
-9.390000e-06,1.44,-0.04
-9.388000e-06,1.4,-0.04
-9.386000e-06,1.36,-0.04
-9.384000e-06,1.4,-0.04
-9.382000e-06,1.44,0
-9.380000e-06,1.4,-0.04
-9.378000e-06,1.44,-0.04
-9.376000e-06,1.44,-0.04
-9.374000e-06,1.44,-0.04
-9.372000e-06,1.44,-0.04
-9.370000e-06,1.4,-0.04
-9.368000e-06,1.4,-0.04
-9.366000e-06,1.4,-0.04
-9.364000e-06,1.4,-0.04
-9.362000e-06,1.44,0
-9.360000e-06,1.44,-0.04
