Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-3.864800e-06,1.3925,1.46344,-0.0203125
-3.864000e-06,1.39578,1.46719,-0.0209375
-3.863200e-06,1.39422,1.4675,-0.0182812
-3.862400e-06,1.39328,1.46609,-0.018125
-3.861600e-06,1.39531,1.46531,-0.0203125
-3.860800e-06,1.39516,1.46828,-0.0203125
-3.860000e-06,1.39312,1.46422,-0.0204688
-3.859200e-06,1.39219,1.46641,-0.0190625
-3.858400e-06,1.39156,1.46625,-0.0204688
-3.857600e-06,1.39453,1.46781,-0.0229687
-3.856800e-06,1.39625,1.46719,-0.0195312
-3.856000e-06,1.39781,1.46781,-0.0214063
-3.855200e-06,1.39359,1.46672,-0.0204688
-3.854400e-06,1.39172,1.46453,-0.018125
-3.853600e-06,1.39453,1.46672,-0.0217188
-3.852800e-06,1.39516,1.46594,-0.0210938
-3.852000e-06,1.39797,1.46469,-0.0173438
-3.851200e-06,1.39328,1.46266,-0.0210938
-3.850400e-06,1.39641,1.46578,-0.020625
-3.849600e-06,1.39453,1.46484,-0.0184375
-3.848800e-06,1.39594,1.46531,-0.0215625
-3.848000e-06,1.39312,1.46875,-0.0175
-3.847200e-06,1.39328,1.46672,-0.0192187
-3.846400e-06,1.39297,1.4675,-0.02
-3.845600e-06,1.39688,1.46797,-0.0209375
-3.844800e-06,1.39688,1.46906,-0.0204688
-3.844000e-06,1.39391,1.46406,-0.0225
-3.843200e-06,1.39328,1.46844,-0.0184375
-3.842400e-06,1.39703,1.46906,-0.0204688
-3.841600e-06,1.39219,1.46531,-0.0195312
-3.840800e-06,1.39125,1.46703,-0.0196875
-3.840000e-06,1.39516,1.46469,-0.0207813
-3.839200e-06,1.39359,1.46516,-0.0207813
-3.838400e-06,1.39484,1.46484,-0.02125
-3.837600e-06,1.39406,1.46781,-0.0196875
-3.836800e-06,1.39531,1.46594,-0.0198438
-3.836000e-06,1.39234,1.46359,-0.02125
-3.835200e-06,1.3975,1.46609,-0.02
-3.834400e-06,1.39141,1.46594,-0.019375
-3.833600e-06,1.39484,1.46781,-0.0229687
-3.832800e-06,1.39391,1.46766,-0.02
-3.832000e-06,1.39531,1.46531,-0.0220312
-3.831200e-06,1.39844,1.46922,-0.0175
-3.830400e-06,1.39297,1.46687,-0.021875
-3.829600e-06,1.39391,1.46547,-0.0226562
-3.828800e-06,1.39234,1.46891,-0.0175
-3.828000e-06,1.39375,1.46813,-0.0228125
-3.827200e-06,1.39391,1.46578,-0.0207813
-3.826400e-06,1.39547,1.46813,-0.0171875
-3.825600e-06,1.39172,1.46422,-0.0229687
-3.824800e-06,1.39516,1.46672,-0.0223437
-3.824000e-06,1.39563,1.46641,-0.0209375
-3.823200e-06,1.39437,1.46531,-0.0209375
-3.822400e-06,1.39328,1.46906,-0.0189062
-3.821600e-06,1.39109,1.46844,-0.0198438
-3.820800e-06,1.39344,1.46641,-0.0207813
-3.820000e-06,1.39344,1.46766,-0.0221875
-3.819200e-06,1.39406,1.46656,-0.0192187
-3.818400e-06,1.39094,1.46797,-0.02125
-3.817600e-06,1.39797,1.46797,-0.0203125
-3.816800e-06,1.39422,1.46188,-0.0195312
-3.816000e-06,1.39359,1.46625,-0.0203125
-3.815200e-06,1.39141,1.46828,-0.02
-3.814400e-06,1.39453,1.46266,-0.0195312
-3.813600e-06,1.39234,1.46578,-0.0209375
-3.812800e-06,1.39656,1.46234,-0.0232812
-3.812000e-06,1.39656,1.46687,-0.0171875
-3.811200e-06,1.39437,1.46437,-0.02
-3.810400e-06,1.39375,1.46578,-0.02
-3.809600e-06,1.39609,1.46375,-0.0217188
-3.808800e-06,1.39688,1.46641,-0.019375
-3.808000e-06,1.39328,1.46766,-0.0185937
-3.807200e-06,1.39547,1.46687,-0.02125
-3.806400e-06,1.39281,1.46766,-0.0214063
-3.805600e-06,1.39703,1.4675,-0.0215625
-3.804800e-06,1.39297,1.46453,-0.0203125
-3.804000e-06,1.39297,1.46578,-0.0209375
-3.803200e-06,1.39266,1.46719,-0.0198438
-3.802400e-06,1.39469,1.46437,-0.0203125
-3.801600e-06,1.39141,1.46875,-0.0195312
-3.800800e-06,1.39766,1.46969,-0.016875
-3.800000e-06,1.39297,1.46313,-0.0246875
-3.799200e-06,1.39328,1.46313,-0.0240625
-3.798400e-06,1.39219,1.47016,-0.0228125
-3.797600e-06,1.395,1.46547,-0.0203125
-3.796800e-06,1.39219,1.46938,-0.0196875
-3.796000e-06,1.39422,1.46484,-0.0176563
-3.795200e-06,1.39187,1.46641,-0.020625
-3.794400e-06,1.39437,1.46672,-0.0210938
-3.793600e-06,1.39484,1.46469,-0.0214063
-3.792800e-06,1.39484,1.46516,-0.0198438
-3.792000e-06,1.39594,1.46406,-0.019375
-3.791200e-06,1.39141,1.46516,-0.01875
-3.790400e-06,1.39328,1.46437,-0.01875
-3.789600e-06,1.39594,1.46906,-0.0189062
-3.788800e-06,1.39422,1.46453,-0.021875
-3.788000e-06,1.39625,1.46562,-0.0210938
-3.787200e-06,1.39469,1.46484,-0.02
-3.786400e-06,1.39141,1.46844,-0.0171875
-3.785600e-06,1.39437,1.46672,-0.0220312
-3.784800e-06,1.39281,1.46578,-0.02125
-3.784000e-06,1.39219,1.4725,-0.02
-3.783200e-06,1.39344,1.46391,-0.0190625
-3.782400e-06,1.39391,1.46547,-0.0176563
-3.781600e-06,1.39172,1.46703,-0.0221875
-3.780800e-06,1.39484,1.46531,-0.0196875
-3.780000e-06,1.39734,1.46703,-0.019375
-3.779200e-06,1.39266,1.46813,-0.0175
-3.778400e-06,1.39484,1.46672,-0.0225
-3.777600e-06,1.39719,1.46703,-0.0215625
-3.776800e-06,1.39328,1.46453,-0.0214063
-3.776000e-06,1.39406,1.46828,-0.0170313
-3.775200e-06,1.39531,1.46625,-0.0164063
-3.774400e-06,1.39234,1.46547,-0.0235938
-3.773600e-06,1.39344,1.46609,-0.0192187
-3.772800e-06,1.3925,1.46281,-0.020625
-3.772000e-06,1.395,1.46391,-0.0196875
-3.771200e-06,1.39344,1.46875,-0.0198438
-3.770400e-06,1.39328,1.46844,-0.0192187
-3.769600e-06,1.39359,1.46328,-0.0223437
-3.768800e-06,1.38984,1.46719,-0.019375
-3.768000e-06,1.39437,1.46578,-0.016875
-3.767200e-06,1.39344,1.46578,-0.0184375
-3.766400e-06,1.39734,1.46891,-0.02
-3.765600e-06,1.39672,1.46781,-0.0198438
-3.764800e-06,1.39516,1.46328,-0.0223437
-3.764000e-06,1.39375,1.46797,-0.0179688
-3.763200e-06,1.39563,1.46422,-0.0178125
-3.762400e-06,1.39422,1.46609,-0.0196875
-3.761600e-06,1.39328,1.46672,-0.0207813
-3.760800e-06,1.39422,1.4675,-0.0151562
-3.760000e-06,1.39422,1.46547,-0.02
-3.759200e-06,1.39328,1.4675,-0.0195312
-3.758400e-06,1.39625,1.46766,-0.02
-3.757600e-06,1.39469,1.4675,-0.0203125
-3.756800e-06,1.39406,1.46828,-0.0209375
-3.756000e-06,1.39469,1.46734,-0.0228125
-3.755200e-06,1.39703,1.46562,-0.0196875
-3.754400e-06,1.39406,1.46547,-0.0184375
-3.753600e-06,1.39375,1.46844,-0.0175
-3.752800e-06,1.39781,1.46594,-0.0225
-3.752000e-06,1.39406,1.46766,-0.020625
-3.751200e-06,1.39469,1.46672,-0.0215625
-3.750400e-06,1.39391,1.46828,-0.0204688
-3.749600e-06,1.39859,1.46969,-0.015
-3.748800e-06,1.39141,1.46219,-0.0214063
-3.748000e-06,1.39625,1.46672,-0.0209375
-3.747200e-06,1.39375,1.46703,-0.018125
-3.746400e-06,1.39578,1.46484,-0.02
-3.745600e-06,1.39391,1.46578,-0.0217188
-3.744800e-06,1.39125,1.46625,-0.0215625
-3.744000e-06,1.39328,1.46781,-0.0189062
-3.743200e-06,1.39563,1.46609,-0.0221875
-3.742400e-06,1.39672,1.47125,-0.0185937
-3.741600e-06,1.39344,1.46531,-0.020625
-3.740800e-06,1.39578,1.46641,-0.0201563
-3.740000e-06,1.39156,1.465,-0.0182812
-3.739200e-06,1.39516,1.46828,-0.0207813
-3.738400e-06,1.39375,1.47,-0.02
-3.737600e-06,1.39437,1.46781,-0.01875
-3.736800e-06,1.39047,1.46437,-0.0207813
-3.736000e-06,1.39625,1.4675,-0.0203125
-3.735200e-06,1.39453,1.46984,-0.0165625
-3.734400e-06,1.39531,1.4675,-0.0201563
-3.733600e-06,1.39406,1.46531,-0.01875
-3.732800e-06,1.39437,1.46859,-0.01875
-3.732000e-06,1.39484,1.46703,-0.019375
-3.731200e-06,1.39297,1.46797,-0.0214063
-3.730400e-06,1.39391,1.46859,-0.0215625
-3.729600e-06,1.39281,1.465,-0.0198438
-3.728800e-06,1.39297,1.46594,-0.02125
-3.728000e-06,1.39391,1.46828,-0.0204688
-3.727200e-06,1.39453,1.46437,-0.0195312
-3.726400e-06,1.39547,1.46953,-0.0182812
-3.725600e-06,1.39453,1.46703,-0.0203125
-3.724800e-06,1.39219,1.4675,-0.0214063
-3.724000e-06,1.39703,1.46719,-0.01625
-3.723200e-06,1.39422,1.46609,-0.02125
-3.722400e-06,1.39437,1.46516,-0.0179688
-3.721600e-06,1.39734,1.46625,-0.02
-3.720800e-06,1.39328,1.47031,-0.02
-3.720000e-06,1.39531,1.46516,-0.01875
-3.719200e-06,1.39375,1.46828,-0.0201563
-3.718400e-06,1.39391,1.46797,-0.018125
-3.717600e-06,1.38891,1.46469,-0.0210938
-3.716800e-06,1.39516,1.46938,-0.0190625
-3.716000e-06,1.39156,1.46469,-0.0217188
-3.715200e-06,1.39688,1.46328,-0.0198438
-3.714400e-06,1.39297,1.46422,-0.019375
-3.713600e-06,1.395,1.46484,-0.0204688
-3.712800e-06,1.39359,1.46781,-0.0196875
-3.712000e-06,1.39563,1.46375,-0.0192187
-3.711200e-06,1.39406,1.46844,-0.0220312
-3.710400e-06,1.39281,1.46672,-0.0232812
-3.709600e-06,1.39531,1.46922,-0.0179688
-3.708800e-06,1.39359,1.46391,-0.0184375
-3.708000e-06,1.39469,1.46547,-0.019375
-3.707200e-06,1.39391,1.46422,-0.02
-3.706400e-06,1.39766,1.46891,-0.018125
-3.705600e-06,1.39297,1.46672,-0.016875
-3.704800e-06,1.39312,1.46531,-0.0207813
-3.704000e-06,1.39328,1.4675,-0.0190625
-3.703200e-06,1.39563,1.465,-0.0196875
-3.702400e-06,1.39391,1.46594,-0.02
-3.701600e-06,1.39391,1.46609,-0.020625
-3.700800e-06,1.39609,1.46531,-0.02
-3.700000e-06,1.39266,1.46813,-0.0207813
-3.699200e-06,1.39391,1.46766,-0.0196875
-3.698400e-06,1.39297,1.465,-0.016875
-3.697600e-06,1.3925,1.46094,-0.0203125
-3.696800e-06,1.39594,1.46656,-0.0215625
-3.696000e-06,1.39391,1.46703,-0.0192187
-3.695200e-06,1.39484,1.46672,-0.0221875
-3.694400e-06,1.39344,1.46672,-0.02125
-3.693600e-06,1.39344,1.4675,-0.020625
-3.692800e-06,1.39406,1.46672,-0.0190625
-3.692000e-06,1.395,1.46813,-0.02
-3.691200e-06,1.3975,1.46922,-0.0170313
-3.690400e-06,1.39297,1.46219,-0.0210938
-3.689600e-06,1.39656,1.46656,-0.0195312
-3.688800e-06,1.3975,1.46375,-0.019375
-3.688000e-06,1.39469,1.46313,-0.0204688
-3.687200e-06,1.39359,1.46813,-0.0190625
-3.686400e-06,1.3925,1.46453,-0.0225
-3.685600e-06,1.39344,1.46359,-0.0225
-3.684800e-06,1.39422,1.46469,-0.0207813
-3.684000e-06,1.39344,1.46687,-0.0153125
-3.683200e-06,1.395,1.46516,-0.020625
-3.682400e-06,1.39453,1.46719,-0.0215625
-3.681600e-06,1.39,1.47031,-0.0228125
-3.680800e-06,1.39312,1.46641,-0.0171875
-3.680000e-06,1.39156,1.46984,-0.0184375
-3.679200e-06,1.39156,1.46547,-0.0232812
-3.678400e-06,1.39219,1.46828,-0.0215625
-3.677600e-06,1.39437,1.46516,-0.016875
-3.676800e-06,1.39422,1.46734,-0.021875
-3.676000e-06,1.39594,1.46781,-0.0182812
-3.675200e-06,1.39578,1.46531,-0.0195312
-3.674400e-06,1.3925,1.46687,-0.0192187
-3.673600e-06,1.39312,1.46875,-0.0195312
-3.672800e-06,1.395,1.46891,-0.0157813
