Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-1.810800e-05,1.42,-0.04
-1.810400e-05,1.38,0
-1.810000e-05,1.42,0
-1.809600e-05,1.42,-0.04
-1.809200e-05,1.42,-0.04
-1.808800e-05,1.42,-0.04
-1.808400e-05,1.46,-0.04
-1.808000e-05,1.38,-0.08
-1.807600e-05,1.42,0
-1.807200e-05,1.38,-0.04
-1.806800e-05,1.42,-0.04
-1.806400e-05,1.42,-0.04
-1.806000e-05,1.42,-0.04
-1.805600e-05,1.42,-0.04
-1.805200e-05,1.38,0
-1.804800e-05,1.38,-0.04
-1.804400e-05,1.42,0
-1.804000e-05,1.42,0
-1.803600e-05,1.46,-0.04
-1.803200e-05,1.42,-0.04
-1.802800e-05,1.42,0
-1.802400e-05,1.42,-0.04
-1.802000e-05,1.46,0
-1.801600e-05,1.42,0
-1.801200e-05,1.38,-0.04
-1.800800e-05,1.42,-0.04
-1.800400e-05,1.38,-0.04
-1.800000e-05,1.42,0
-1.799600e-05,1.42,0
-1.799200e-05,1.42,0
-1.798800e-05,1.42,0
-1.798400e-05,1.38,0
-1.798000e-05,1.38,-0.04
-1.797600e-05,1.38,-0.04
-1.797200e-05,1.38,-0.04
-1.796800e-05,1.38,-0.04
-1.796400e-05,1.42,-0.04
-1.796000e-05,1.42,0
-1.795600e-05,1.42,0
-1.795200e-05,1.38,-0.04
-1.794800e-05,1.38,-0.04
-1.794400e-05,1.42,-0.04
-1.794000e-05,1.42,-0.04
-1.793600e-05,1.46,0
-1.793200e-05,1.46,-0.04
-1.792800e-05,1.42,0
-1.792400e-05,1.42,-0.04
-1.792000e-05,1.46,-0.04
-1.791600e-05,1.42,-0.04
-1.791200e-05,1.42,-0.04
-1.790800e-05,1.42,-0.04
-1.790400e-05,1.42,-0.04
-1.790000e-05,1.42,-0.04
-1.789600e-05,1.42,-0.04
-1.789200e-05,1.42,-0.04
-1.788800e-05,1.38,-0.04
-1.788400e-05,1.42,-0.04
-1.788000e-05,1.42,-0.04
-1.787600e-05,1.38,0
-1.787200e-05,1.42,-0.04
-1.786800e-05,1.42,-0.04
-1.786400e-05,1.42,-0.04
-1.786000e-05,1.42,-0.04
-1.785600e-05,1.42,-0.04
-1.785200e-05,1.38,0
-1.784800e-05,1.38,0
-1.784400e-05,1.38,0
-1.784000e-05,1.42,0
-1.783600e-05,1.38,-0.04
-1.783200e-05,1.38,0
-1.782800e-05,1.42,-0.04
-1.782400e-05,1.42,-0.04
-1.782000e-05,1.42,-0.04
-1.781600e-05,1.42,0
-1.781200e-05,1.46,-0.04
-1.780800e-05,1.42,-0.04
-1.780400e-05,1.42,0
-1.780000e-05,1.38,0
-1.779600e-05,1.42,0
