Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-3.824800e-06,1.36187,1.43344,-0.0584375
-3.824000e-06,1.36359,1.43422,-0.0596875
-3.823200e-06,1.36438,1.43578,-0.0589063
-3.822400e-06,1.3675,1.43453,-0.0585938
-3.821600e-06,1.36719,1.43625,-0.0598438
-3.820800e-06,1.36641,1.43266,-0.0575
-3.820000e-06,1.36531,1.43797,-0.056875
-3.819200e-06,1.36578,1.43625,-0.0585938
-3.818400e-06,1.36891,1.43609,-0.059375
-3.817600e-06,1.36641,1.43531,-0.0598438
-3.816800e-06,1.36484,1.43141,-0.0578125
-3.816000e-06,1.365,1.43422,-0.059375
-3.815200e-06,1.3625,1.43141,-0.0590625
-3.814400e-06,1.36922,1.43563,-0.06
-3.813600e-06,1.36391,1.43281,-0.0598438
-3.812800e-06,1.36375,1.43422,-0.0589063
-3.812000e-06,1.36453,1.43484,-0.0598438
-3.811200e-06,1.37312,1.43672,-0.0589063
-3.810400e-06,1.36563,1.43281,-0.0578125
-3.809600e-06,1.36234,1.43344,-0.0576562
-3.808800e-06,1.36391,1.43641,-0.0589063
-3.808000e-06,1.36609,1.43344,-0.0595313
-3.807200e-06,1.36656,1.43828,-0.0575
-3.806400e-06,1.36766,1.43672,-0.059375
-3.805600e-06,1.36531,1.43391,-0.0582812
-3.804800e-06,1.36594,1.43484,-0.0570312
-3.804000e-06,1.36891,1.4375,-0.0585938
-3.803200e-06,1.36594,1.43297,-0.05875
-3.802400e-06,1.36609,1.43359,-0.0595313
-3.801600e-06,1.36422,1.43531,-0.0592188
-3.800800e-06,1.36609,1.43516,-0.05875
-3.800000e-06,1.37125,1.43813,-0.0553125
-3.799200e-06,1.36187,1.43297,-0.0584375
-3.798400e-06,1.36516,1.43453,-0.059375
-3.797600e-06,1.36594,1.43719,-0.0589063
-3.796800e-06,1.36828,1.43594,-0.0578125
-3.796000e-06,1.36828,1.4375,-0.0585938
-3.795200e-06,1.36734,1.43219,-0.0576562
-3.794400e-06,1.36359,1.43703,-0.0567187
-3.793600e-06,1.36469,1.43563,-0.0590625
-3.792800e-06,1.36797,1.43672,-0.05875
-3.792000e-06,1.36766,1.43531,-0.0596875
-3.791200e-06,1.36438,1.43156,-0.0575
-3.790400e-06,1.36531,1.43531,-0.0598438
-3.789600e-06,1.3625,1.43063,-0.0590625
-3.788800e-06,1.37016,1.43688,-0.0598438
-3.788000e-06,1.36422,1.43125,-0.0590625
-3.787200e-06,1.36328,1.43531,-0.0592188
-3.786400e-06,1.36594,1.43437,-0.0590625
-3.785600e-06,1.37312,1.43719,-0.0589063
-3.784800e-06,1.36734,1.43266,-0.0570312
-3.784000e-06,1.36391,1.43484,-0.0573437
-3.783200e-06,1.36594,1.43406,-0.0595313
-3.782400e-06,1.36563,1.43437,-0.059375
-3.781600e-06,1.36609,1.43719,-0.0573437
-3.780800e-06,1.36734,1.43734,-0.05875
-3.780000e-06,1.36641,1.43547,-0.0573437
-3.779200e-06,1.36703,1.43609,-0.0571875
-3.778400e-06,1.37062,1.43656,-0.0595313
-3.777600e-06,1.36859,1.4325,-0.0585938
-3.776800e-06,1.365,1.43344,-0.0592188
-3.776000e-06,1.36484,1.43375,-0.0596875
-3.775200e-06,1.36797,1.43578,-0.0590625
-3.774400e-06,1.37109,1.43688,-0.0557813
-3.773600e-06,1.36094,1.43172,-0.0584375
-3.772800e-06,1.36563,1.43359,-0.0592188
-3.772000e-06,1.36469,1.43641,-0.0585938
-3.771200e-06,1.36766,1.43781,-0.0578125
-3.770400e-06,1.37078,1.43672,-0.0585938
-3.769600e-06,1.36656,1.43219,-0.0578125
-3.768800e-06,1.365,1.43547,-0.05625
-3.768000e-06,1.36672,1.43625,-0.0584375
-3.767200e-06,1.36828,1.43781,-0.05625
-3.766400e-06,1.36891,1.43531,-0.0595313
-3.765600e-06,1.36469,1.43344,-0.0564062
-3.764800e-06,1.365,1.43453,-0.059375
-3.764000e-06,1.36375,1.43203,-0.059375
-3.763200e-06,1.36844,1.43563,-0.0595313
-3.762400e-06,1.36516,1.43234,-0.0590625
-3.761600e-06,1.36266,1.43547,-0.0590625
-3.760800e-06,1.36469,1.43422,-0.06
-3.760000e-06,1.37156,1.43719,-0.05875
-3.759200e-06,1.36641,1.43344,-0.0571875
-3.758400e-06,1.36594,1.43328,-0.0579687
-3.757600e-06,1.36391,1.43641,-0.059375
-3.756800e-06,1.36672,1.43172,-0.059375
-3.756000e-06,1.36844,1.43672,-0.0575
-3.755200e-06,1.36625,1.435,-0.0589063
-3.754400e-06,1.36734,1.43391,-0.0575
-3.753600e-06,1.36625,1.43484,-0.0571875
-3.752800e-06,1.36844,1.43781,-0.0595313
-3.752000e-06,1.36719,1.43312,-0.0584375
-3.751200e-06,1.36469,1.43375,-0.0592188
-3.750400e-06,1.36156,1.43469,-0.0584375
-3.749600e-06,1.36984,1.43578,-0.05875
-3.748800e-06,1.37094,1.43891,-0.055625
-3.748000e-06,1.36016,1.43047,-0.0582812
-3.747200e-06,1.36266,1.43406,-0.059375
-3.746400e-06,1.36781,1.43781,-0.0592188
-3.745600e-06,1.36813,1.43672,-0.0565625
-3.744800e-06,1.36953,1.43484,-0.059375
-3.744000e-06,1.365,1.43188,-0.058125
-3.743200e-06,1.36422,1.43703,-0.0565625
-3.742400e-06,1.36531,1.43547,-0.0595313
-3.741600e-06,1.36859,1.4375,-0.0578125
-3.740800e-06,1.36609,1.43453,-0.0595313
-3.740000e-06,1.36375,1.43312,-0.058125
-3.739200e-06,1.36531,1.43406,-0.0596875
-3.738400e-06,1.36172,1.43125,-0.0589063
-3.737600e-06,1.36922,1.43563,-0.0595313
-3.736800e-06,1.36672,1.4325,-0.0592188
-3.736000e-06,1.36047,1.435,-0.0589063
-3.735200e-06,1.36359,1.43484,-0.06
-3.734400e-06,1.37234,1.43719,-0.0589063
-3.733600e-06,1.36625,1.43281,-0.0576562
-3.732800e-06,1.36453,1.43422,-0.0575
-3.732000e-06,1.365,1.43391,-0.0592188
-3.731200e-06,1.36719,1.43437,-0.0595313
-3.730400e-06,1.36734,1.43656,-0.0576562
-3.729600e-06,1.36719,1.43516,-0.0590625
-3.728800e-06,1.36719,1.43328,-0.0582812
-3.728000e-06,1.36656,1.43375,-0.0551563
-3.727200e-06,1.36766,1.43703,-0.059375
-3.726400e-06,1.36828,1.43266,-0.05875
-3.725600e-06,1.36547,1.43312,-0.06
-3.724800e-06,1.36328,1.43281,-0.0589063
-3.724000e-06,1.36828,1.43437,-0.059375
-3.723200e-06,1.37078,1.43594,-0.0551563
-3.722400e-06,1.36234,1.43172,-0.0579687
-3.721600e-06,1.36266,1.43375,-0.05875
-3.720800e-06,1.36609,1.43484,-0.05875
-3.720000e-06,1.36609,1.43484,-0.0578125
-3.719200e-06,1.37062,1.43625,-0.05875
-3.718400e-06,1.36484,1.43266,-0.0575
-3.717600e-06,1.36531,1.43875,-0.0573437
-3.716800e-06,1.36438,1.43437,-0.0589063
-3.716000e-06,1.37109,1.43781,-0.0570312
-3.715200e-06,1.36531,1.43547,-0.0595313
-3.714400e-06,1.36266,1.43359,-0.056875
-3.713600e-06,1.36625,1.43563,-0.0592188
-3.712800e-06,1.36266,1.43156,-0.0578125
