Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,
TIME,CH1,CH2
-4.658000e+00,1.02,3.44
-4.657000e+00,1.26,3.4
-4.656000e+00,1.16,3.44
-4.655000e+00,1.1,3.4
-4.654000e+00,1.14,3.4
-4.653000e+00,1.16,3.36
-4.652000e+00,1.18,3.4
-4.651000e+00,1.08,3.4
-4.650000e+00,1.12,3.4
-4.649000e+00,1.64,3.4
-4.648000e+00,1.62,3.4
-4.647000e+00,1.26,3.4
-4.646000e+00,1.18,3.44
-4.645000e+00,1.12,3.44
-4.644000e+00,1.04,3.4
-4.643000e+00,0.74,3.4
-4.642000e+00,0.98,3.4
-4.641000e+00,1.04,3.44
-4.640000e+00,0.74,3.4
-4.639000e+00,1.04,3.44
-4.638000e+00,1.02,3.4
-4.637000e+00,1.12,3.4
-4.636000e+00,1.06,3.44
-4.635000e+00,1.08,3.48
-4.634000e+00,1.18,3.4
-4.633000e+00,1.18,3.4
-4.632000e+00,1.2,3.36
-4.631000e+00,1.32,3.44
-4.630000e+00,1.22,3.44
-4.629000e+00,1.12,3.4
-4.628000e+00,1.1,3.4
-4.627000e+00,1,3.4
-4.626000e+00,0.94,3.44
-4.625000e+00,0.94,3.44
-4.624000e+00,0.9,3.44
-4.623000e+00,1.2,3.4
-4.622000e+00,1.04,3.4
-4.621000e+00,1.1,3.44
-4.620000e+00,1.04,3.4
-4.619000e+00,1.16,3.44
-4.618000e+00,1.22,3.36
-4.617000e+00,1.06,3.4
-4.616000e+00,1.14,3.36
-4.615000e+00,1.04,3.4
-4.614000e+00,1.2,3.4
-4.613000e+00,1.24,3.4
-4.612000e+00,1.1,3.44
-4.611000e+00,1.06,3.4
-4.610000e+00,0.98,3.4
-4.609000e+00,0.9,3.4
-4.608000e+00,0.96,3.44
-4.607000e+00,0.94,3.4
-4.606000e+00,1.04,3.32
-4.605000e+00,1.08,3.4
-4.604000e+00,1.04,3.48
-4.603000e+00,1.04,3.4
-4.602000e+00,1.02,3.44
-4.601000e+00,0.98,3.4
-4.600000e+00,1.06,3.4
-4.599000e+00,1.2,3.4
-4.598000e+00,1.6,3.4
-4.597000e+00,1.22,3.4
-4.596000e+00,1.06,3.44
-4.595000e+00,1.08,3.4
-4.594000e+00,0.94,3.4
-4.593000e+00,0.66,3.4
-4.592000e+00,0.9,3.44
-4.591000e+00,0.98,3.4
-4.590000e+00,1.1,3.44
-4.589000e+00,1.02,3.4
-4.588000e+00,1,3.44
-4.587000e+00,1.02,3.4
-4.586000e+00,1.02,3.4
-4.585000e+00,1.06,3.4
-4.584000e+00,1.1,3.44
-4.583000e+00,1.1,3.44
-4.582000e+00,1.62,3.4
-4.581000e+00,1.2,3.4
-4.580000e+00,1.14,3.4
-4.579000e+00,1.06,3.44
-4.578000e+00,1.02,3.4
-4.577000e+00,0.86,3.4
-4.576000e+00,0.74,3.4
-4.575000e+00,0.88,3.4
-4.574000e+00,0.82,3.44
-4.573000e+00,0.88,3.4
-4.572000e+00,1,3.44
-4.571000e+00,1,3.4
-4.570000e+00,1.02,3.36
-4.569000e+00,1.06,3.44
-4.568000e+00,0.92,3.4
-4.567000e+00,0.96,3.44
-4.566000e+00,1.08,3.4
-4.565000e+00,1.4,3.44
-4.564000e+00,1.14,3.4
-4.563000e+00,1.12,3.4
-4.562000e+00,1.02,3.44
-4.561000e+00,0.96,3.4
-4.560000e+00,0.96,3.4
-4.559000e+00,0.84,3.44
-4.558000e+00,0.9,3.4
-4.557000e+00,0.78,3.48
-4.556000e+00,1.04,3.4
-4.555000e+00,1,3.48
-4.554000e+00,0.98,3.4
-4.553000e+00,1,3.4
-4.552000e+00,0.94,3.4
-4.551000e+00,1.1,3.4
-4.550000e+00,1,3.44
-4.549000e+00,1.1,3.4
-4.548000e+00,1.48,3.4
-4.547000e+00,1.16,3.4
-4.546000e+00,1.04,3.4
-4.545000e+00,1,3.4
-4.544000e+00,0.9,3.4
-4.543000e+00,0.82,3.44
-4.542000e+00,0.82,3.44
-4.541000e+00,0.9,3.4
-4.540000e+00,1.28,3.4
-4.539000e+00,0.96,3.4
-4.538000e+00,0.9,3.4
-4.537000e+00,0.96,3.4
-4.536000e+00,0.98,3.48
-4.535000e+00,0.96,3.4
-4.534000e+00,0.92,3.4
-4.533000e+00,1.04,3.44
-4.532000e+00,0.82,3.4
-4.531000e+00,1.28,3.44
-4.530000e+00,1.08,3.4
-4.529000e+00,1,3.4
-4.528000e+00,0.98,3.4
-4.527000e+00,0.78,3.4
-4.526000e+00,0.7,3.4
-4.525000e+00,0.84,3.36
-4.524000e+00,0.84,3.4
-4.523000e+00,0.96,3.4
-4.522000e+00,0.94,3.4
-4.521000e+00,0.96,3.4
-4.520000e+00,0.94,3.4
-4.519000e+00,0.92,3.4
-4.518000e+00,0.86,3.4
-4.517000e+00,0.98,3.44
-4.516000e+00,1,3.44
-4.515000e+00,1.26,3.4
-4.514000e+00,1.08,3.4
-4.513000e+00,1.08,3.44
-4.512000e+00,0.96,3.4
-4.511000e+00,0.94,3.4
-4.510000e+00,0.96,3.4
-4.509000e+00,0.7,3.4
-4.508000e+00,0.82,3.4
-4.507000e+00,0.9,3.44
-4.506000e+00,0.88,3.4
-4.505000e+00,0.9,3.44
-4.504000e+00,0.92,3.4
-4.503000e+00,0.9,3.44
-4.502000e+00,1,3.44
-4.501000e+00,1.04,3.4
-4.500000e+00,0.96,3.44
-4.499000e+00,1.5,3.4
-4.498000e+00,1.22,3.44
-4.497000e+00,1.1,3.44
-4.496000e+00,1,3.4
-4.495000e+00,0.94,3.4
-4.494000e+00,0.84,3.44
-4.493000e+00,0.66,3.4
-4.492000e+00,0.78,3.4
-4.491000e+00,0.84,3.4
-4.490000e+00,0.82,3.4
-4.489000e+00,0.92,3.4
-4.488000e+00,0.86,3.4
-4.487000e+00,0.92,3.4
-4.486000e+00,0.94,3.4
-4.485000e+00,0.96,3.44
-4.484000e+00,0.88,3.4
-4.483000e+00,0.98,3.44
-4.482000e+00,1.24,3.44
-4.481000e+00,1.2,3.4
-4.480000e+00,0.96,3.44
-4.479000e+00,0.9,3.4
-4.478000e+00,0.88,3.44
-4.477000e+00,0.56,3.44
-4.476000e+00,0.64,3.4
-4.475000e+00,0.8,3.44
-4.474000e+00,0.74,3.44
-4.473000e+00,0.96,3.4
-4.472000e+00,0.86,3.4
-4.471000e+00,0.9,3.4
-4.470000e+00,0.86,3.4
-4.469000e+00,0.86,3.4
-4.468000e+00,0.98,3.44
-4.467000e+00,0.94,3.4
-4.466000e+00,0.94,3.4
-4.465000e+00,0.76,3.44
-4.464000e+00,1.08,3.44
-4.463000e+00,1,3.44
-4.462000e+00,0.9,3.44
-4.461000e+00,0.84,3.4
-4.460000e+00,0.84,3.4
-4.459000e+00,0.68,3.4
-4.458000e+00,0.76,3.44
-4.457000e+00,1,3.4
-4.456000e+00,0.8,3.4
-4.455000e+00,0.88,3.44
-4.454000e+00,0.86,3.44
-4.453000e+00,0.9,3.4
-4.452000e+00,0.96,3.44
-4.451000e+00,0.76,3.44
-4.450000e+00,0.9,3.4
-4.449000e+00,0.84,3.44
-4.448000e+00,1,3.44
-4.447000e+00,1.04,3.4
-4.446000e+00,0.9,3.4
-4.445000e+00,0.86,3.4
-4.444000e+00,0.82,3.4
-4.443000e+00,0.64,3.44
-4.442000e+00,0.72,3.44
-4.441000e+00,0.78,3.36
-4.440000e+00,0.44,3.44
-4.439000e+00,0.84,3.4
-4.438000e+00,0.82,3.4
-4.437000e+00,0.86,3.4
-4.436000e+00,0.8,3.4
-4.435000e+00,0.86,3.4
-4.434000e+00,0.92,3.44
-4.433000e+00,0.94,3.4
-4.432000e+00,1.28,3.44
-4.431000e+00,1.12,3.44
-4.430000e+00,0.9,3.44
-4.429000e+00,0.86,3.36
-4.428000e+00,0.86,3.4
-4.427000e+00,0.36,3.4
-4.426000e+00,0.56,3.4
-4.425000e+00,0.7,3.44
-4.424000e+00,0.9,3.48
-4.423000e+00,0.74,3.44
-4.422000e+00,0.82,3.4
-4.421000e+00,0.82,3.44
-4.420000e+00,0.82,3.44
-4.419000e+00,0.9,3.44
-4.418000e+00,0.86,3.4
-4.417000e+00,0.84,3.4
-4.416000e+00,0.94,3.4
-4.415000e+00,1.54,3.44
-4.414000e+00,0.96,3.4
-4.413000e+00,0.94,3.4
-4.412000e+00,0.8,3.4
-4.411000e+00,0.76,3.4
-4.410000e+00,0.76,3.4
-4.409000e+00,0.62,3.4
-4.408000e+00,0.7,3.4
-4.407000e+00,0.82,3.44
-4.406000e+00,0.84,3.4
-4.405000e+00,0.76,3.4
-4.404000e+00,0.84,3.4
-4.403000e+00,0.84,3.4
-4.402000e+00,0.74,3.36
-4.401000e+00,0.74,3.4
-4.400000e+00,0.84,3.4
-4.399000e+00,0.86,3.36
-4.398000e+00,0.88,3.44
-4.397000e+00,0.98,3.4
-4.396000e+00,0.84,3.44
-4.395000e+00,0.8,3.44
-4.394000e+00,0.72,3.4
-4.393000e+00,0.58,3.4
-4.392000e+00,0.64,3.4
-4.391000e+00,0.68,3.4
-4.390000e+00,0.98,3.4
-4.389000e+00,0.76,3.4
-4.388000e+00,0.76,3.44
-4.387000e+00,0.78,3.4
-4.386000e+00,0.74,3.4
-4.385000e+00,0.8,3.44
-4.384000e+00,0.82,3.4
-4.383000e+00,0.9,3.44
-4.382000e+00,0.74,3.4
-4.381000e+00,1.02,3.4
-4.380000e+00,0.8,3.4
-4.379000e+00,0.8,3.4
-4.378000e+00,0.76,3.44
-4.377000e+00,0.48,3.44
-4.376000e+00,0.58,3.36
