Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-4.623000e-04,1.42,0
-4.622000e-04,1.42,-0.04
-4.621000e-04,1.42,0
-4.620000e-04,1.46,0
-4.619000e-04,1.42,0
-4.618000e-04,1.38,-0.04
-4.617000e-04,1.42,0
-4.616000e-04,1.42,-0.04
-4.615000e-04,1.42,0
-4.614000e-04,1.42,-0.04
-4.613000e-04,1.38,-0.04
-4.612000e-04,1.42,-0.04
-4.611000e-04,1.42,0
-4.610000e-04,1.42,-0.04
-4.609000e-04,1.42,0
-4.608000e-04,1.42,0
-4.607000e-04,1.42,-0.04
-4.606000e-04,1.42,-0.04
-4.605000e-04,1.42,-0.04
-4.604000e-04,1.46,0
-4.603000e-04,1.42,0
-4.602000e-04,1.38,-0.04
-4.601000e-04,1.42,0
-4.600000e-04,1.42,0
-4.599000e-04,1.46,0
-4.598000e-04,1.38,-0.04
-4.597000e-04,1.42,0
-4.596000e-04,1.42,0
-4.595000e-04,1.42,-0.04
-4.594000e-04,1.46,0
-4.593000e-04,1.38,0
-4.592000e-04,1.46,-0.04
-4.591000e-04,1.38,-0.04
-4.590000e-04,1.42,-0.04
-4.589000e-04,1.42,-0.04
-4.588000e-04,1.42,0
-4.587000e-04,1.38,-0.04
-4.586000e-04,1.38,0
-4.585000e-04,1.46,0
-4.584000e-04,1.46,0
-4.583000e-04,1.38,-0.04
-4.582000e-04,1.42,-0.04
-4.581000e-04,1.38,-0.04
-4.580000e-04,1.38,-0.04
-4.579000e-04,1.42,0
-4.578000e-04,1.38,0
-4.577000e-04,1.42,-0.04
-4.576000e-04,1.38,-0.04
-4.575000e-04,1.42,0
-4.574000e-04,1.46,-0.04
-4.573000e-04,1.38,0
-4.572000e-04,1.42,0
-4.571000e-04,1.42,0
-4.570000e-04,1.38,0
-4.569000e-04,1.42,-0.04
-4.568000e-04,1.38,-0.04
-4.567000e-04,1.46,0
-4.566000e-04,1.42,-0.04
-4.565000e-04,1.42,0
-4.564000e-04,1.42,-0.04
-4.563000e-04,1.42,0
-4.562000e-04,1.42,-0.04
-4.561000e-04,1.42,-0.04
-4.560000e-04,1.46,0
-4.559000e-04,1.42,-0.04
-4.558000e-04,1.42,0
-4.557000e-04,1.38,-0.04
-4.556000e-04,1.42,-0.04
-4.555000e-04,1.42,-0.04
-4.554000e-04,1.42,-0.04
-4.553000e-04,1.38,-0.08
-4.552000e-04,1.42,-0.04
-4.551000e-04,1.46,-0.04
-4.550000e-04,1.38,0
-4.549000e-04,1.42,0
-4.548000e-04,1.42,-0.04
-4.547000e-04,1.38,-0.04
-4.546000e-04,1.38,-0.04
-4.545000e-04,1.42,0
-4.544000e-04,1.38,0
-4.543000e-04,1.42,-0.04
-4.542000e-04,1.46,-0.04
-4.541000e-04,1.42,0
-4.540000e-04,1.42,-0.04
-4.539000e-04,1.38,0
-4.538000e-04,1.46,-0.04
-4.537000e-04,1.42,-0.04
-4.536000e-04,1.42,-0.04
-4.535000e-04,1.42,0
-4.534000e-04,1.42,0
-4.533000e-04,1.46,-0.04
-4.532000e-04,1.38,0
-4.531000e-04,1.42,-0.04
-4.530000e-04,1.42,-0.04
-4.529000e-04,1.38,0
-4.528000e-04,1.42,0
-4.527000e-04,1.38,-0.08
-4.526000e-04,1.42,-0.04
-4.525000e-04,1.42,-0.04
-4.524000e-04,1.38,-0.04
-4.523000e-04,1.42,-0.04
-4.522000e-04,1.42,-0.04
-4.521000e-04,1.38,-0.08
-4.520000e-04,1.42,-0.04
-4.519000e-04,1.46,-0.04
-4.518000e-04,1.42,-0.04
-4.517000e-04,1.42,-0.04
-4.516000e-04,1.38,-0.04
-4.515000e-04,1.42,0
-4.514000e-04,1.42,-0.04
-4.513000e-04,1.42,-0.04
-4.512000e-04,1.46,-0.04
