Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-9.542000e-03,0.707813,17.8609,1.40547,4.10125
-9.540000e-03,0.719063,17.7563,1.40547,4.10562
-9.538000e-03,0.715156,17.7266,1.40281,4.10969
-9.536000e-03,0.717812,17.8297,1.39531,4.10234
-9.534000e-03,0.722031,17.7047,1.39719,4.10656
-9.532000e-03,0.719688,17.7688,1.39703,4.10641
-9.530000e-03,0.703281,17.7312,1.39469,4.10984
-9.528000e-03,0.717969,17.7563,1.39594,4.11125
-9.526000e-03,0.705625,17.7172,1.40328,4.11344
-9.524000e-03,0.715625,17.7547,1.39469,4.10078
-9.522000e-03,0.713906,17.6969,1.40875,4.09891
-9.520000e-03,0.71875,17.7953,1.40172,4.11437
-9.518000e-03,0.716719,17.725,1.40562,4.10328
-9.516000e-03,0.709375,17.7031,1.39844,4.10047
-9.514000e-03,0.708125,17.7516,1.40234,4.11469
-9.512000e-03,0.709219,17.7406,1.40344,4.10141
-9.510000e-03,0.715313,17.7688,1.39813,4.10594
-9.508000e-03,0.712656,17.7797,1.39187,4.09969
-9.506000e-03,0.714688,17.7781,1.38453,4.10734
-9.504000e-03,0.714375,17.8344,1.39578,4.10766
-9.502000e-03,0.709219,17.7047,1.39922,4.10344
-9.500000e-03,0.704688,17.8047,1.39078,4.10266
-9.498000e-03,0.713906,17.7031,1.39125,4.10578
-9.496000e-03,0.712812,17.7406,1.39641,4.11156
-9.494000e-03,0.704531,17.7688,1.39766,4.10625
-9.492000e-03,0.718125,17.7422,1.39531,4.11719
-9.490000e-03,0.712812,17.7734,1.39938,4.10734
-9.488000e-03,0.714688,17.7328,1.40875,4.11484
-9.486000e-03,0.7025,17.8281,1.39469,4.11406
-9.484000e-03,0.7075,17.7688,1.39688,4.10547
-9.482000e-03,0.707656,17.6875,1.40125,4.11078
-9.480000e-03,0.704063,17.7937,1.39594,4.10516
-9.478000e-03,0.71125,17.7,1.39672,4.11625
-9.476000e-03,0.700313,17.775,1.39984,4.10609
-9.474000e-03,0.708438,17.6922,1.39797,4.11484
-9.472000e-03,0.715469,17.7969,1.40516,4.10328
-9.470000e-03,0.704219,17.7516,1.39172,4.10969
-9.468000e-03,0.7025,17.7563,1.39422,4.10609
-9.466000e-03,0.709219,17.8172,1.40766,4.11172
-9.464000e-03,0.709531,17.775,1.40734,4.11328
-9.462000e-03,0.697813,17.7625,1.39875,4.09766
-9.460000e-03,0.710781,17.7422,1.3875,4.10906
-9.458000e-03,0.707031,17.7234,1.39297,4.105
-9.456000e-03,0.704375,17.8078,1.39422,4.10469
-9.454000e-03,0.707969,17.7703,1.39469,4.10906
-9.452000e-03,0.699063,17.7984,1.39984,4.11281
-9.450000e-03,0.704219,17.7531,1.40078,4.10531
-9.448000e-03,0.702031,17.7734,1.40562,4.11437
-9.446000e-03,0.69625,17.7547,1.40312,4.11359
-9.444000e-03,0.697187,17.8141,1.39516,4.10953
-9.442000e-03,0.697187,17.8375,1.40203,4.11453
-9.440000e-03,0.700937,17.7563,1.39938,4.11266
-9.438000e-03,0.705156,17.7703,1.40562,4.11672
-9.436000e-03,0.691094,17.7156,1.39531,4.10797
-9.434000e-03,0.68625,17.7719,1.39781,4.11
-9.432000e-03,0.702656,17.7594,1.39031,4.11375
-9.430000e-03,0.70125,17.8016,1.39172,4.10812
-9.428000e-03,0.705,17.8172,1.40422,4.10656
-9.426000e-03,0.697969,17.7125,1.40141,4.10328
-9.424000e-03,0.692656,17.7172,1.39594,4.10656
-9.422000e-03,0.699844,17.8313,1.39859,4.11641
-9.420000e-03,0.69875,17.7688,1.40016,4.11016
-9.418000e-03,0.684219,17.7703,1.39422,4.10609
-9.416000e-03,0.690156,17.8094,1.39969,4.11156
-9.414000e-03,0.691719,17.7156,1.40047,4.10812
-9.412000e-03,0.694219,17.7594,1.39688,4.10844
-9.410000e-03,0.688594,17.6609,1.38922,4.10906
-9.408000e-03,0.683594,17.6703,1.40094,4.11219
-9.406000e-03,0.684375,17.7875,1.40344,4.11156
-9.404000e-03,0.692031,17.7312,1.4,4.10375
-9.402000e-03,0.691406,17.8266,1.40094,4.10922
-9.400000e-03,0.690469,17.675,1.40094,4.10859
-9.398000e-03,0.692031,17.7875,1.3975,4.10891
-9.396000e-03,0.690625,17.7578,1.395,4.09828
-9.394000e-03,0.695781,17.7906,1.39344,4.10297
-9.392000e-03,0.695312,17.7578,1.40297,4.11047
-9.390000e-03,0.688906,17.7797,1.40297,4.10672
-9.388000e-03,0.689844,17.7766,1.39156,4.09781
-9.386000e-03,0.684063,17.7359,1.39922,4.10812
-9.384000e-03,0.693281,17.7344,1.39875,4.11172
-9.382000e-03,0.695312,17.7609,1.39609,4.11125
-9.380000e-03,0.688438,17.7484,1.39594,4.10469
-9.378000e-03,0.682344,17.7453,1.40297,4.10531
-9.376000e-03,0.679688,17.7641,1.39625,4.105
-9.374000e-03,0.688906,17.7828,1.39469,4.09672
-9.372000e-03,0.684219,17.7719,1.39563,4.10891
-9.370000e-03,0.681406,17.7297,1.40469,4.10906
-9.368000e-03,0.6875,17.7156,1.40047,4.11406
-9.366000e-03,0.677031,17.7656,1.39688,4.10625
-9.364000e-03,0.675625,17.7844,1.40203,4.10219
-9.362000e-03,0.680156,17.7578,1.39781,4.10734
-9.360000e-03,0.679375,17.7328,1.40344,4.11062
-9.358000e-03,0.679375,17.7469,1.40312,4.10328
-9.356000e-03,0.677656,17.775,1.39422,4.11187
-9.354000e-03,0.681562,17.7766,1.39422,4.09844
-9.352000e-03,0.685625,17.6453,1.39969,4.10609
-9.350000e-03,0.673906,17.8422,1.39688,4.09812
-9.348000e-03,0.686719,17.775,1.39922,4.11109
-9.346000e-03,0.683281,17.7953,1.39594,4.11062
-9.344000e-03,0.685,17.8203,1.4025,4.10438
-9.342000e-03,0.681719,17.8047,1.39594,4.11328
-9.340000e-03,0.680781,17.7797,1.39359,4.10812
-9.338000e-03,0.676563,17.7672,1.40969,4.11453
-9.336000e-03,0.6825,17.775,1.39578,4.10391
-9.334000e-03,0.682031,17.7859,1.39453,4.11406
-9.332000e-03,0.682188,17.6859,1.40156,4.10125
-9.330000e-03,0.671406,17.8,1.40094,4.09391
-9.328000e-03,0.68375,17.7016,1.39922,4.11187
-9.326000e-03,0.676563,17.7641,1.41063,4.11016
-9.324000e-03,0.680937,17.7516,1.38969,4.10516
-9.322000e-03,0.676406,17.6953,1.40297,4.10828
-9.320000e-03,0.684531,17.7438,1.40391,4.09969
-9.318000e-03,0.671875,17.7391,1.39594,4.10766
-9.316000e-03,0.676406,17.7609,1.39547,4.10828
