Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-9.412000e-04,-0.0201563,1.76406,3.23656
-9.410000e-04,-0.0196875,1.76422,3.2375
-9.408000e-04,-0.0207813,1.76063,3.23922
-9.406000e-04,-0.0198438,1.76297,3.23406
-9.404000e-04,-0.0201563,1.7625,3.23438
-9.402000e-04,-0.02,1.76281,3.23375
-9.400000e-04,-0.0196875,1.76203,3.23891
-9.398000e-04,-0.0189062,1.76297,3.23797
-9.396000e-04,-0.0192187,1.7625,3.23484
-9.394000e-04,-0.0196875,1.76281,3.2375
-9.392000e-04,-0.02,1.76063,3.23531
-9.390000e-04,-0.019375,1.76234,3.23781
-9.388000e-04,-0.0201563,1.76016,3.23563
-9.386000e-04,-0.0189062,1.7625,3.23531
-9.384000e-04,-0.0173438,1.76547,3.23781
-9.382000e-04,-0.0198438,1.76156,3.23719
-9.380000e-04,-0.0196875,1.76156,3.23719
-9.378000e-04,-0.019375,1.76313,3.23844
-9.376000e-04,-0.02,1.75984,3.23297
-9.374000e-04,-0.0196875,1.76125,3.23844
-9.372000e-04,-0.0165625,1.76687,3.24266
-9.370000e-04,-0.0192187,1.76141,3.23422
-9.368000e-04,-0.0198438,1.76297,3.23422
-9.366000e-04,-0.019375,1.76344,3.23563
-9.364000e-04,-0.0189062,1.76281,3.23594
-9.362000e-04,-0.0198438,1.76469,3.23844
-9.360000e-04,-0.0182812,1.76188,3.23781
-9.358000e-04,-0.0176563,1.76469,3.23766
-9.356000e-04,-0.0196875,1.76031,3.23625
-9.354000e-04,-0.0178125,1.76531,3.24031
-9.352000e-04,-0.0204688,1.76094,3.23406
-9.350000e-04,-0.0184375,1.76484,3.23828
-9.348000e-04,-0.0198438,1.76281,3.23781
-9.346000e-04,-0.0196875,1.76125,3.23734
-9.344000e-04,-0.0203125,1.76031,3.23875
-9.342000e-04,-0.0198438,1.76375,3.23453
-9.340000e-04,-0.02,1.76078,3.23484
-9.338000e-04,-0.02,1.76266,3.23797
-9.336000e-04,-0.0195312,1.76422,3.2425
-9.334000e-04,-0.0184375,1.76266,3.235
-9.332000e-04,-0.0190625,1.76234,3.23703
-9.330000e-04,-0.0195312,1.76203,3.23781
-9.328000e-04,-0.0201563,1.76109,3.23828
-9.326000e-04,-0.0189062,1.76328,3.23891
-9.324000e-04,-0.02,1.76109,3.23828
-9.322000e-04,-0.0189062,1.76547,3.23328
-9.320000e-04,-0.0175,1.76594,3.23813
-9.318000e-04,-0.0204688,1.76156,3.23828
-9.316000e-04,-0.0192187,1.76359,3.23813
-9.314000e-04,-0.0195312,1.76391,3.23797
-9.312000e-04,-0.019375,1.76203,3.23438
-9.310000e-04,-0.0198438,1.76219,3.23844
-9.308000e-04,-0.0170313,1.76594,3.24313
-9.306000e-04,-0.0189062,1.76188,3.235
-9.304000e-04,-0.0198438,1.76156,3.23734
-9.302000e-04,-0.0195312,1.76234,3.23813
-9.300000e-04,-0.0189062,1.7625,3.23672
-9.298000e-04,-0.02,1.76484,3.24188
-9.296000e-04,-0.01875,1.76406,3.23672
-9.294000e-04,-0.01875,1.765,3.23953
-9.292000e-04,-0.0198438,1.76234,3.23531
-9.290000e-04,-0.0175,1.76547,3.24125
-9.288000e-04,-0.0204688,1.76156,3.235
-9.286000e-04,-0.01875,1.765,3.23766
-9.284000e-04,-0.0198438,1.76344,3.23813
-9.282000e-04,-0.0189062,1.76406,3.23703
-9.280000e-04,-0.0201563,1.76016,3.23969
-9.278000e-04,-0.0198438,1.76328,3.23781
-9.276000e-04,-0.0201563,1.76109,3.23484
-9.274000e-04,-0.02,1.76156,3.23563
-9.272000e-04,-0.0195312,1.76438,3.24266
-9.270000e-04,-0.0185937,1.76188,3.23672
-9.268000e-04,-0.0189062,1.76281,3.23797
-9.266000e-04,-0.0195312,1.76188,3.23453
-9.264000e-04,-0.0201563,1.76047,3.23687
-9.262000e-04,-0.019375,1.76266,3.23844
-9.260000e-04,-0.02,1.76094,3.23547
-9.258000e-04,-0.0185937,1.76359,3.23797
-9.256000e-04,-0.0175,1.76594,3.23766
-9.254000e-04,-0.0198438,1.76172,3.23687
-9.252000e-04,-0.0190625,1.76234,3.23703
-9.250000e-04,-0.0196875,1.76438,3.23656
-9.248000e-04,-0.0201563,1.76125,3.23484
-9.246000e-04,-0.0196875,1.76094,3.23672
-9.244000e-04,-0.0171875,1.76547,3.24016
-9.242000e-04,-0.0189062,1.76203,3.23406
-9.240000e-04,-0.019375,1.76391,3.23906
-9.238000e-04,-0.0196875,1.76125,3.23609
-9.236000e-04,-0.0189062,1.76281,3.23922
-9.234000e-04,-0.0201563,1.76391,3.24
-9.232000e-04,-0.01875,1.76297,3.23813
-9.230000e-04,-0.0184375,1.76484,3.23906
-9.228000e-04,-0.02,1.76203,3.23672
-9.226000e-04,-0.0178125,1.765,3.23859
-9.224000e-04,-0.0201563,1.76172,3.23484
-9.222000e-04,-0.018125,1.76641,3.23703
-9.220000e-04,-0.0201563,1.76266,3.23609
-9.218000e-04,-0.019375,1.76328,3.23719
-9.216000e-04,-0.020625,1.76203,3.24031
-9.214000e-04,-0.0198438,1.76406,3.23828
-9.212000e-04,-0.0201563,1.76047,3.23594
-9.210000e-04,-0.0203125,1.76266,3.23375
